ID;Nom;Fréquence;Priorité;Durée (min);Date prévue
0;🍴 Mettre la vaisselle au lave-vaisselle;1xjour;5;10;
1;🍴 Nettoyer la vaisselle sale à la main;1xjour;4;30;
2;🍴 Ranger la vaisselle propre;1xjour;4;10;
3;🍴 Nettoyer la table à manger;1xjour;4;10;
4;🍴 Ranger le plan de travail;1xjour;4;5;
5;🍴 Nettoyer le plan de travail;1xjour;4;10;
6;🍴 Sortir les poubelles;1xsemaine;3;10;
7;🍴 Nettoyer la plaque de cuisson;1xsemaine;2;20;
8;🍴 Nettoyer la machine à café;1xsemaine;2;10;
9;🍴 Jetter les cartons;1xsemaine;2;10;
10;🍴 Jetter les verres;1xmois;2;10;
11;😺 Changer l'eau;1xjour;3;5;
12;😺 Changer la litière;1xsemaine;3;15;
13;🛋️ Ranger ce qui traîne;1xjour;4;20;
14;🛋️ Passer l'aspirateur;1xsemaine;3;40;
15;🛋️ Passer la serpillère;1xsemaine;3;40;
16;🛋️ Nettoyer le canapé;3xan;1;40;
17;🛋️ Nettoyer les vitrines;3xan;1;60;
18;🛋️ Enlever les toiles d'araignée;2xmois;2;20;
19;🛋️ Dépoussiérer les étagères/vaisselier;2xmois;1;20;
20;🛋️ Nettoyer la table basse;1xsemaine;2;10;
21;🛋️ Nettoyer les bureaux;1xsemaine;2;15;
22;👕 Faire la lessive de serviettes/peignoires/serpillères;1xmois;2;30;
23;👕 Faire la lessive vêtements AC;1xsemaine;3;30;
24;👕 Faire la lessive vêtements Cyril;1xsemaine;3;30;
25;👕 Faire la lessive de draps;2xmois;2;30;
26;👕 Faire la lessive vêtements blanc;1xmois;1;30;
27;🛏 Ranger les vêtements qui trainent;1xjour;3;15;
28;🛏 Nettoyer le sol;1xsemaine;2;30;
29;🛏 Changer les draps;2xmois;4;20;
30;🌱 Nettoyer la terrasse;1xan;1;120;01/03/2025
31;🌱 Passer la tondeuse;1xmois;2;60;
32;🌱 Laver housses de fauteuils;3xan;2;15;
33;🚘 Nettoyer crottes garange;1xmois;4;40;
